placa,data_posicao,velocidade,ignicao,latitude,longitude
CAR0012,2018-12-12T22:06:19-02:00,0,False,-25.3648861,-51.4699225
CAR0012,2018-12-12T22:36:21-02:00,0,False,-25.3648996,-51.4699201
CAR0012,2018-12-12T23:06:25-02:00,0,False,-25.3648771,-51.4698895
CAR0012,2018-12-12T23:36:28-02:00,0,False,-25.3649048,-51.4698733
CAR0012,2018-12-13T00:06:31-02:00,0,False,-25.3649083,-51.4699545
CAR0012,2018-12-13T00:36:34-02:00,0,False,-25.3648861,-51.4699038
CAR0012,2018-12-13T01:06:37-02:00,0,False,-25.3648535,-51.4699203
CAR0012,2018-12-13T01:36:40-02:00,0,False,-25.3648973,-51.4699281
CAR0012,2018-12-13T02:06:44-02:00,0,False,-25.3648775,-51.469911
CAR0012,2018-12-13T02:36:47-02:00,0,False,-25.3649093,-51.469942
CAR0012,2018-12-13T03:06:50-02:00,0,False,-25.3649156,-51.4699666
CAR0012,2018-12-13T03:36:53-02:00,0,False,-25.3648976,-51.4699606
CAR0012,2018-12-13T04:06:56-02:00,0,False,-25.3649788,-51.4699236
CAR0012,2018-12-13T04:36:59-02:00,0,False,-25.3648965,-51.4699591
CAR0012,2018-12-13T05:07:01-02:00,0,False,-25.3648581,-51.4699126
CAR0012,2018-12-13T05:37:04-02:00,0,False,-25.3649603,-51.4699108
CAR0012,2018-12-13T06:07:07-02:00,0,False,-25.36492,-51.46988
CAR0012,2018-12-13T06:37:10-02:00,0,False,-25.3649313,-51.4699468
CAR0012,2018-12-13T07:07:13-02:00,0,False,-25.3649275,-51.4699435
CAR0012,2018-12-13T07:37:16-02:00,0,False,-25.3648921,-51.4699078
CAR0012,2018-12-13T08:07:19-02:00,0,False,-25.3649106,-51.469928
CAR0012,2018-12-13T08:37:21-02:00,0,False,-25.3649186,-51.469958
CAR0012,2018-12-13T09:07:24-02:00,0,False,-25.364874,-51.4699256
CAR0012,2018-12-13T09:37:27-02:00,0,False,-25.3648606,-51.4699675
CAR0012,2018-12-13T10:07:30-02:00,0,False,-25.364945,-51.4699991
CAR0012,2018-12-13T10:37:33-02:00,0,False,-25.3649006,-51.4699531
CAR0012,2018-12-13T11:07:36-02:00,0,False,-25.3648865,-51.4699123
CAR0012,2018-12-13T11:37:39-02:00,0,False,-25.3648901,-51.4699135
CAR0012,2018-12-13T12:07:43-02:00,0,False,-25.3649675,-51.4699678
CAR0012,2018-12-13T12:37:46-02:00,0,False,-25.364934,-51.4699683
CAR0012,2018-12-13T13:07:49-02:00,0,False,-25.364874,-51.4699355
CAR0012,2018-12-13T13:37:52-02:00,0,False,-25.3649676,-51.4699716
CAR0012,2018-12-13T14:07:55-02:00,0,False,-25.3648706,-51.4699243
CAR0012,2018-12-13T14:37:58-02:00,0,False,-25.3648628,-51.4700285
CAR0012,2018-12-13T15:08:02-02:00,0,False,-25.3649066,-51.469924
CAR0012,2018-12-13T15:38:05-02:00,0,False,-25.364933,-51.4699498
CAR0012,2018-12-13T16:08:08-02:00,0,False,-25.3649296,-51.4699256
CAR0012,2018-12-13T16:38:11-02:00,0,False,-25.3649261,-51.4699331
CAR0012,2018-12-13T17:08:14-02:00,0,False,-25.3649083,-51.469937
CAR0012,2018-12-13T17:38:17-02:00,0,False,-25.3648966,-51.4699813
CAR0012,2018-12-13T18:08:20-02:00,0,False,-25.3649361,-51.4698716
CAR0012,2018-12-13T18:38:23-02:00,0,False,-25.3648731,-51.4699578
CAR0012,2018-12-13T19:08:26-02:00,0,False,-25.3648646,-51.4699211
CAR0012,2018-12-13T19:38:29-02:00,0,False,-25.3648618,-51.4699006
CAR0012,2018-12-13T20:08:32-02:00,0,False,-25.3648846,-51.4699216
CAR0012,2018-12-13T20:38:35-02:00,0,False,-25.364945,-51.4699343
CAR0012,2018-12-13T21:08:38-02:00,0,False,-25.3648933,-51.4699181
CAR0012,2018-12-13T21:38:41-02:00,0,False,-25.3648806,-51.4699303
CAR0012,2018-12-13T22:08:44-02:00,0,False,-25.3648836,-51.4699323
CAR0012,2018-12-13T22:38:47-02:00,0,False,-25.3648863,-51.4699251
CAR0012,2018-12-13T23:08:50-02:00,0,False,-25.3648528,-51.4699088
CAR0012,2018-12-13T23:38:53-02:00,0,False,-25.3649138,-51.4699313
CAR0012,2018-12-14T00:08:56-02:00,0,False,-25.3648993,-51.469933
CAR0012,2018-12-14T00:38:58-02:00,0,False,-25.3648641,-51.4698688
CAR0012,2018-12-14T01:09:00-02:00,0,False,-25.3649343,-51.4699373
CAR0012,2018-12-14T01:39:03-02:00,0,False,-25.3648891,-51.4698966
CAR0012,2018-12-14T02:09:07-02:00,0,False,-25.3649325,-51.4699285
CAR0012,2018-12-14T02:39:10-02:00,0,False,-25.3649,-51.4699075
CAR0012,2018-12-14T03:09:13-02:00,0,False,-25.3649213,-51.4699276
CAR0012,2018-12-14T03:39:16-02:00,0,False,-25.3649025,-51.4699506
CAR0012,2018-12-14T04:09:18-02:00,0,False,-25.3649203,-51.4699058
CAR0012,2018-12-14T04:39:22-02:00,0,False,-25.3648626,-51.4698996
CAR0012,2018-12-14T05:09:25-02:00,0,False,-25.3648803,-51.469876
CAR0012,2018-12-14T05:39:28-02:00,0,False,-25.3649125,-51.4699198
CAR0012,2018-12-14T06:09:32-02:00,0,False,-25.364918,-51.4699398
CAR0012,2018-12-14T06:39:35-02:00,0,False,-25.3648658,-51.469995
CAR0012,2018-12-14T07:09:38-02:00,0,False,-25.3648808,-51.4699478
CAR0012,2018-12-14T07:39:41-02:00,0,False,-25.3648953,-51.469888
CAR0012,2018-12-14T08:09:43-02:00,0,False,-25.3649106,-51.4699531
CAR0012,2018-12-14T08:39:46-02:00,0,False,-25.3648886,-51.46991
CAR0012,2018-12-14T09:09:49-02:00,0,False,-25.3648583,-51.4699768
CAR0012,2018-12-14T09:39:52-02:00,0,False,-25.3648736,-51.4699736
CAR0012,2018-12-14T10:09:55-02:00,0,False,-25.3648908,-51.4698985
CAR0012,2018-12-14T10:39:58-02:00,0,False,-25.3649115,-51.4699571
CAR0012,2018-12-14T11:10:01-02:00,0,False,-25.3648943,-51.4698888
CAR0012,2018-12-14T11:40:04-02:00,0,False,-25.3648446,-51.4699575
CAR0012,2018-12-14T12:10:07-02:00,0,False,-25.3649028,-51.46994
CAR0012,2018-12-14T12:40:10-02:00,0,False,-25.364928,-51.4700176
CAR0012,2018-12-14T13:10:13-02:00,0,False,-25.3648618,-51.4699388
CAR0012,2018-12-14T13:40:16-02:00,0,False,-25.3648881,-51.4700676
CAR0012,2018-12-14T14:10:19-02:00,0,False,-25.364868,-51.4699241
CAR0012,2018-12-14T14:40:22-02:00,0,False,-25.3649655,-51.4699741
CAR0012,2018-12-14T14:43:07-02:00,0,True,-25.3648951,-51.469969
CAR0012,2018-12-14T14:45:06-02:00,0,True,-25.3649545,-51.4699006
CAR0012,2018-12-14T14:47:06-02:00,0,True,-25.364975,-51.469917
CAR0012,2018-12-14T14:49:06-02:00,0,True,-25.3649688,-51.4699336
CAR0012,2018-12-14T14:51:06-02:00,0,True,-25.3649633,-51.4699423
CAR0012,2018-12-14T14:53:06-02:00,0,True,-25.3649808,-51.4699488
CAR0012,2018-12-14T14:55:06-02:00,0,True,-25.3649505,-51.4699538
CAR0012,2018-12-14T14:57:06-02:00,0,True,-25.3649326,-51.4699533
CAR0012,2018-12-14T14:59:06-02:00,0,True,-25.3649436,-51.4699513
CAR0012,2018-12-14T15:01:06-02:00,0,True,-25.3649651,-51.4699645
CAR0012,2018-12-14T15:03:06-02:00,0,True,-25.3649556,-51.469934
CAR0012,2018-12-14T15:05:06-02:00,0,True,-25.3649646,-51.469926
CAR0012,2018-12-14T15:07:06-02:00,0,True,-25.3649593,-51.4699153
CAR0012,2018-12-14T15:08:25-02:00,0,False,-25.3649606,-51.4699311
CAR0012,2018-12-14T15:08:25-02:00,0,False,-25.3649606,-51.4699311
CAR0012,2018-12-14T15:40:28-02:00,0,False,-25.3649753,-51.4699666
CAR0012,2018-12-14T16:10:30-02:00,0,False,-25.3649238,-51.4699085
CAR0012,2018-12-14T16:40:33-02:00,0,False,-25.364919,-51.4699563
CAR0012,2018-12-14T17:10:36-02:00,0,False,-25.3649073,-51.4699208
CAR0012,2018-12-14T17:40:39-02:00,0,False,-25.364906,-51.4699141
CAR0012,2018-12-14T18:10:42-02:00,0,False,-25.364866,-51.4699125
CAR0012,2018-12-14T18:40:45-02:00,0,False,-25.3648846,-51.4699175
CAR0012,2018-12-14T19:10:48-02:00,0,False,-25.3648981,-51.469964
CAR0012,2018-12-14T19:40:52-02:00,0,False,-25.3648968,-51.4699383
CAR0012,2018-12-14T20:10:55-02:00,0,False,-25.364897,-51.4699185
